gene	cluster
AN8821	Cluster_1
AN8820	Cluster_5
AN9482	Cluster_8
AN9481	Cluster_5
AN12435	Cluster_8
AN12434	Cluster_1
AN8819	Cluster_8
AN8817	Cluster_2
AN8818	Cluster_8
AN8816	cluster_T
AN8815	Cluster_2
AN8814	Cluster_7
AN8813	Cluster_2
AN8812	Cluster_8
AN11631	Cluster_8
AN8811	Cluster_1
AN8810	Cluster_1
AN11123	Cluster_1
AN8809	Cluster_8
AN8808	Cluster_5
AN8807	cluster_T
AN8806	Cluster_5
AN8805	Cluster_8
AN8804	Cluster_8
AN8803	Cluster_8
AN8802	Cluster_8
AN8801	Cluster_8
AN8800	Cluster_1
AN8799	Cluster_1
AN8798	Cluster_5
AN8797	Cluster_5
AN8796	Cluster_1
AN8795	Cluster_1
AN8794	Cluster_1
AN8793	Cluster_5
AN8792	Cluster_8
AN8791	Cluster_5
AN8790	Cluster_8
AN8789	Cluster_8
AN8788	Cluster_8
AN8787	Cluster_8
AN8786	Cluster_1
AN8785	Cluster_1
AN8784	Cluster_1
AN8783	Cluster_1
AN8782	Cluster_8
AN8781	Cluster_5
AN8780	Cluster_1
AN8779	Cluster_5
AN12082	cluster_T
AN8778	Cluster_5
AN8777	Cluster_5
AN8776	cluster_T
AN8775	cluster_T
AN8774	cluster_T
AN11122	cluster_T
AN11114	cluster_T
AN8772	Cluster_8
AN11121	cluster_T
AN11120	Cluster_8
AN11119	Cluster_5
AN11113	Cluster_7
AN8770	Cluster_8
AN12080	cluster_T
AN8769	Cluster_5
AN8768	Cluster_5
AN8767	Cluster_2
AN8766	Cluster_8
AN8765	Cluster_5
AN8764	Cluster_1
AN8763	Cluster_1
AN8762	Cluster_1
AN8761	Cluster_8
AN8760	cluster_T
AN8759	Cluster_5
AN11118	Cluster_8
AN11112	Cluster_5
AN8757	Cluster_8
AN8756	Cluster_8
AN8755	Cluster_5
AN11124	Cluster_8
AN8754	Cluster_7
AN8753	Cluster_7
AN8752	cluster_T
AN8751	Cluster_5
AN8750	Cluster_1
AN8749	Cluster_1
AN8748	Cluster_1
AN11117	Cluster_1
AN8746	Cluster_1
AN11115	Cluster_1
AN11111	Cluster_5
AN11116	Cluster_8
AN8744	Cluster_1
AN8743	Cluster_1
AN11630	Cluster_1
AN8742	Cluster_8
AN12078	cluster_T
AN8741	Cluster_2
AN8740	cluster_T
AN12077	Cluster_8
AN8739	Cluster_2
AN8738	cluster_T
AN9505	Cluster_8
AN9504	Cluster_1
AN12244	cluster_T
AN8737	cluster_T
AN8736	cluster_T
AN8735	cluster_T
AN8734	cluster_T
AN8733	Cluster_7
AN8732	cluster_T
AN11105	Cluster_8
AN11108	Cluster_8
AN8730	cluster_T
AN8729	cluster_T
AN8728	cluster_T
AN8727	cluster_T
AN8726	Cluster_2
AN8725	Cluster_8
AN8724	Cluster_5
AN8723	Cluster_5
AN12241	Cluster_1
AN8722	Cluster_1
AN8721	Cluster_1
AN8720	Cluster_1
AN8719	Cluster_1
AN8718	Cluster_2
